id_docente,nombres_completos,cedula,area_principal,tiene_maestria,tiene_doctorado,anios_experiencia_docente_total,anios_experiencia_industria,anios_experiencia_area_software,comp_programacion,comp_bases_datos,comp_matematicas,comp_software,comp_gestion_compu,comp_administracion,comp_computacion,proyectos_desarrollo_reales,proyectos_software_reales,proyectos_bd_reales,proyectos_matematicos_reales,proyectos_infraestructura_reales,produccion_academica,cert_programacion,cert_cloud,cert_metodologias_agiles,cert_bases_datos,cert_seguridad,cert_otras,total_certificaciones,score_herramientas_programacion,score_herramientas_bases_datos,score_herramientas_matematicas,score_herramientas_software,score_herramientas_gestion_compu,score_herramientas_administracion,score_herramientas_computacion,score_enfoque_programacion,score_enfoque_bases_datos,score_enfoque_matematicas,score_enfoque_software,score_enfoque_gestion_compu,score_enfoque_administracion,score_enfoque_computacion,comp_pedagogica_planificacion,comp_pedagogica_evaluacion,comp_pedagogica_innovacion,comp_pedagogica_comunicacion,comp_tec_plataformas_virtuales,comp_tec_herramientas_colaborativas,comp_tec_contenido_digital,promedio_evaluacion_docente,numero_evaluaciones,idoneidad_programacion,idoneidad_bases_datos,idoneidad_matematicas,idoneidad_software,idoneidad_gestion_compu,idoneidad_administracion,idoneidad_computacion
DOC_001,Docente 001,0962157313,Computación,1,0,10,14,5,3.75,1.23,1.09,2.3,1.9,2.82,4.97,1.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.36,1.08,1.72,0.78,1.08,1.23,4.18,1,0,0,0,0,0,1,4,3,4,3,5,4,3,79.6,25,55.13,49.35,36.89,59.21,47.6,40.1,56.35
DOC_002,Docente 002,0962441466,Software,1,0,14,14,8,3.95,2.36,1.39,4.18,3.66,1.78,1.82,0.5,5.0,1.0,0.0,0.0,0.0,2,0,3,0,0,1,6,1.64,1.54,2.42,4.77,1.99,1.58,1.67,1,0,0,1,0,0,0,2,5,4,5,4,5,2,87.8,7,64.79,66.44,41.81,88.85,64.48,44.9,48.6
DOC_003,Docente 003,0991752859,Gestión Computacional,1,0,9,10,8,1.67,1.14,1.56,3.07,4.56,1.89,3.96,1.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0,2,0,2,1.55,1.36,0.55,0.72,3.55,1.77,1.13,0,1,0,0,1,0,0,4,4,2,4,3,3,3,85.8,10,43.58,42.41,36.11,51.41,64.28,38.62,48.22
DOC_004,Docente 004,0978227907,Software,1,0,13,11,7,3.27,1.48,1.17,4.01,3.13,2.23,2.29,2.0,5.0,2.0,0.0,0.0,0.0,1,0,3,0,0,1,5,1.54,1.91,1.23,4.96,2.42,1.0,1.49,0,0,0,1,0,0,0,2,2,3,4,3,3,3,94.6,27,59.52,58.33,38.13,79.86,57.32,43.32,43.87
DOC_005,Docente 005,0933448674,Computación,1,0,8,9,5,3.39,1.95,1.8,1.14,2.25,3.52,4.04,1.0,1.0,2.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0.69,2.38,1.3,1.54,2.18,1.85,4.6,0,0,0,0,0,1,1,2,3,1,4,5,3,2,92.1,27,44.77,48.8,37.43,51.27,42.04,45.93,47.53
DOC_006,Docente 006,0997692768,Matemáticas,1,1,3,9,4,2.74,1.24,4.01,1.91,1.01,1.15,2.0,0.5,1.0,1.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0.85,0.54,4.24,0.86,1.23,1.99,1.94,0,0,1,0,0,0,1,4,3,4,5,4,4,2,82.6,19,41.38,45.2,56.55,54.6,36.5,37.25,41.25
DOC_007,Docente 007,0940024204,Gestión Computacional,1,0,6,4,1,1.07,2.49,1.7,3.33,4.33,2.12,3.36,1.5,0.0,2.0,0.0,5.0,0.0,0,1,0,0,1,0,2,0.84,1.61,2.37,1.89,4.36,0.69,1.73,1,0,0,1,1,0,1,5,4,1,4,4,4,4,76.4,28,36.24,45.34,31.94,46.2,56.69,38.27,45.97
DOC_008,Docente 008,0913695961,Software,1,0,15,5,1,2.99,1.6,1.08,4.67,2.73,1.87,1.66,2.5,5.0,1.0,0.0,0.0,0.0,0,0,2,0,0,1,3,0.58,1.11,1.57,3.99,2.16,1.04,2.43,0,1,0,1,0,0,0,3,5,2,4,4,3,4,80.8,27,55.78,52.12,36.52,77.16,52.02,41.85,41.55
DOC_009,Docente 009,0944907127,Gestión Computacional,0,0,11,13,5,1.09,2.37,1.66,3.28,4.64,1.27,3.49,2.0,1.0,0.0,0.0,5.0,0.0,0,1,0,0,2,0,3,2.02,0.53,0.73,0.59,3.56,2.21,1.91,0,0,0,0,1,0,0,3,3,1,4,5,5,3,85.6,5,41.41,39.83,24.06,47.3,55.75,24.85,41.7
DOC_010,Docente 010,0965395426,Gestión Computacional,1,0,18,8,2,1.04,1.88,2.41,3.91,4.55,1.96,3.08,0.0,1.0,2.0,0.0,3.33,0.0,0,1,0,0,1,0,2,1.25,0.58,1.74,1.17,4.48,1.27,1.86,0,0,0,0,1,1,0,2,2,1,3,5,4,2,88.8,7,45.44,52.98,46.78,60.38,65.23,40.47,53.57
